YEAR,MONTH,SERVICE_TYPE,AVG_TICKET
2015,1,green,14.73474245120238
2015,1,yellow,15.059278947701289
2015,2,green,14.391870241842284
2015,2,yellow,15.328849203535444
2015,3,green,14.493168315255273
2015,3,yellow,15.798295731533042
2015,4,green,14.746529084305333
2015,4,yellow,15.975365637300847
2015,5,green,15.180947994453348
2015,5,yellow,16.36998946675515
2015,6,green,14.894011300029852
2015,6,yellow,16.325587679147322
2015,7,green,14.86562953127232
2015,7,yellow,16.07004999484598
2015,8,green,14.902871108951992
2015,8,yellow,16.080559534164397
2015,9,green,15.023171265506663
2015,9,yellow,16.391438532232907
2015,10,green,14.871651933237755
2015,10,yellow,16.46801342212296
2015,11,green,14.672715097477962
2015,11,yellow,16.301172045451715
2015,12,green,14.667160432155182
2015,12,yellow,16.220869723630575
2016,1,green,14.35417612620932
2016,1,yellow,15.580207680461172
2016,2,green,14.188556570353965
2016,2,yellow,15.512377910572603
2016,3,green,14.44291696803822
2016,3,yellow,15.937027984389221
2016,4,green,14.717731085483656
2016,4,yellow,16.14173574227224
2016,5,green,15.049889465712477
2016,5,yellow,16.587134862318706
2016,6,green,15.039958211196627
2016,6,yellow,16.642315801624648
2016,7,green,14.921008874813252
2016,7,yellow,16.397403294700716
2016,8,green,14.832695313358284
2016,8,yellow,16.29474585552039
2016,9,green,14.883799631513856
2016,9,yellow,16.913156181470185
2016,10,green,14.58364936035443
2016,10,yellow,16.536370674099555
2016,11,green,14.233832138120777
2016,11,yellow,16.52848791503927
2016,12,green,13.96341246860505
2016,12,yellow,16.14904957425261
2017,1,green,13.612138364660764
2017,1,yellow,15.341746682458048
2017,2,green,13.78347018977709
2017,2,yellow,15.577570174122338
2017,3,green,13.798495063784038
2017,3,yellow,16.166063165758658
2017,4,green,14.090962513214905
2017,4,yellow,16.235449687774317
2017,5,green,14.353060774799902
2017,5,yellow,16.702532640729228
2017,6,green,14.502449191596128
2017,6,yellow,16.547458213062967
2017,7,green,14.469777674992974
2017,7,yellow,16.297115148942257
2017,8,green,14.502148525303426
2017,8,yellow,16.39225775401888
2017,9,green,14.851312178466262
2017,9,yellow,16.582347453664898
2017,10,green,14.588849181201953
2017,10,yellow,16.61972917438047
2017,11,green,14.381240804173906
2017,11,yellow,16.3809769104348
2017,12,green,14.170365425503404
2017,12,yellow,16.12038012629416
2018,1,green,14.005371974891457
2018,1,yellow,15.416436553906266
2018,2,green,14.171142883789848
2018,2,yellow,15.410111487076971
2018,3,green,14.930858169711827
2018,3,yellow,15.893880199924748
2018,4,green,15.50320707965498
2018,4,yellow,16.233150085500995
2018,5,green,16.14768328002075
2018,5,yellow,16.714757939715486
2018,6,green,16.285047618656268
2018,6,yellow,16.58558152024551
2018,7,green,16.093393200911986
2018,7,yellow,16.425470105955814
2018,8,green,16.70113036354296
2018,8,yellow,16.543137063582357
2018,9,green,17.36426290719047
2018,9,yellow,16.772407139768315
2018,10,green,17.661759472379604
2018,10,yellow,16.88881561949159
2018,11,green,17.54686022695488
2018,11,yellow,16.752677410594124
2018,12,green,17.934865357865363
2018,12,yellow,16.454836204931176
2019,1,green,18.09906420854954
2019,1,yellow,15.63576216489027
2019,2,green,18.898083796204457
2019,2,yellow,18.62827262906706
2019,3,green,18.605714091399395
2019,3,yellow,19.081435949999147
2019,4,green,18.401032336170093
2019,4,yellow,19.275044309837206
2019,5,green,18.064975206981593
2019,5,yellow,19.561540114482078
2019,6,green,17.398438958205006
2019,6,yellow,19.67086892508571
2019,7,green,17.23156488924061
2019,7,yellow,19.463142507493956
2019,8,green,17.995517140823402
2019,8,yellow,19.519637089774843
2019,9,green,18.46242145268331
2019,9,yellow,19.776792424187374
2019,10,green,18.911701204954518
2019,10,yellow,19.62480904462248
2019,11,green,18.115206285623323
2019,11,yellow,19.254813339430864
2019,12,green,18.536133016887018
2019,12,yellow,19.42891672983086
2020,1,green,18.823762101034493
2020,1,yellow,18.466156402026037
2020,2,green,18.482082420104945
2020,2,yellow,18.456795937932352
2020,3,green,16.64607562752285
2020,3,yellow,18.38240353832287
2020,4,green,19.6958638511518
2020,4,yellow,16.27881597017001
2020,5,green,21.422599210320424
2020,5,yellow,18.340681865012648
2020,6,green,23.102657090067748
2020,6,yellow,18.64057791604349
2020,7,green,24.36685374000176
2020,7,yellow,18.459398604853757
2020,8,green,24.842027759366836
2020,8,yellow,18.44530929210331
2020,9,green,23.662143043839848
2020,9,yellow,17.5671077461329
2020,10,green,23.22536337559395
2020,10,yellow,18.040237092436193
2020,11,green,23.41966352734718
2020,11,yellow,17.322827858529887
2020,12,green,23.385343656850253
2020,12,yellow,17.280486547603715
2021,1,green,23.705605084332785
2021,1,yellow,17.387512492812558
2021,2,green,23.62870852075363
2021,2,yellow,17.54365960136624
2021,3,green,23.89981932840518
2021,3,yellow,17.65839530080381
2021,4,green,24.24154928563717
2021,4,yellow,18.47375673035121
2021,5,green,23.861262260890296
2021,5,yellow,18.794566865770264
2021,6,green,23.714157433557826
2021,6,yellow,19.338105356319154
2021,7,green,24.332330591118225
2021,7,yellow,19.804791130117103
2021,8,green,24.624170975740434
2021,8,yellow,20.135138711920217
2021,9,green,25.315748577408595
2021,9,yellow,20.814009286114867
2021,10,green,23.98165531322331
2021,10,yellow,20.217601445950425
2021,11,green,23.7888518532737
2021,11,yellow,20.59758689257854
2021,12,green,22.97760313849878
2021,12,yellow,20.78209937404014
2022,1,green,16.992439812295974
2022,1,yellow,19.05859625919475
2022,2,green,17.34158453443148
2022,2,yellow,19.405785206262752
2022,3,green,17.889029143258426
2022,3,yellow,20.469250972301467
2022,4,green,18.423311745045556
2022,4,yellow,21.05128876765794
2022,5,green,19.31262631994132
2022,5,yellow,21.941808438984676
2022,6,green,19.543061224489794
2022,6,yellow,21.973663713960846
2022,7,green,19.23876963789234
2022,7,yellow,21.26788564435583
2022,8,green,19.52561400071832
2022,8,yellow,21.374627552560998
2022,9,green,20.52900502590273
2022,9,yellow,22.481193120573604
2022,10,green,19.256085984285736
2022,10,yellow,22.063681063334453
2022,11,green,18.671793309458746
2022,11,yellow,21.89152579028165
2022,12,green,20.852342715110755
2022,12,yellow,24.4161382341066
2023,1,green,21.709494907407407
2023,1,yellow,26.976803376708684
2023,2,green,21.789887380836966
2023,2,yellow,26.87803364199272
2023,3,green,22.202405395552315
2023,3,yellow,27.786906509990494
2023,4,green,22.923373929529717
2023,4,yellow,28.227587161797015
2023,5,green,23.653803419454043
2023,5,yellow,28.932106993104235
2023,6,green,24.374315199716648
2023,6,yellow,29.023592455229156
2023,7,green,24.174431725971584
2023,7,yellow,28.534567682832066
2023,8,green,24.909130859886513
2023,8,yellow,28.60473807875621
2023,9,green,26.33778293776414
2023,9,yellow,29.805003832173373
2023,10,green,24.62573260953113
2023,10,yellow,29.222945420654636
2023,11,green,24.08560642543787
2023,11,yellow,28.740313454573098
2023,12,green,24.021627295725597
2023,12,yellow,28.491242615463985
2024,1,green,22.19283009717792
2024,1,yellow,26.74494635593652
2024,2,green,22.475397846068876
2024,2,yellow,26.609293555038377
2024,3,green,22.719739347818095
2024,3,yellow,27.125583381829273
2024,4,green,23.24072740590489
2024,4,yellow,27.4494699860097
2024,5,green,24.46230339797435
2024,5,yellow,28.222876584726627
2024,6,green,24.738112590426347
2024,6,yellow,27.869558203829087
2024,7,green,24.60557756519245
2024,7,yellow,28.019923515253858
2024,8,green,25.938045043758542
2024,8,yellow,28.18886724895493
2024,9,green,26.56865023542405
2024,9,yellow,28.518016997159158
2024,10,green,24.995078498803828
2024,10,yellow,28.41402404051319
2024,11,green,24.023987253414266
2024,11,yellow,27.619913779678253
2024,12,green,23.837504318128286
2024,12,yellow,28.27200197463757
2025,1,green,22.519693794796485
2025,1,yellow,25.66947372869285
2025,2,green,22.8521292190752
2025,2,yellow,25.096539354780823
2025,3,green,23.863783112752643
2025,3,yellow,26.28281595939304
2025,4,green,24.498192040994777
2025,4,yellow,26.601236267398193
2025,5,green,25.263898147091275
2025,5,yellow,26.963403354886378
2025,6,green,25.694158305462654
2025,6,yellow,27.416330772555664
2025,7,green,25.635013400801903
2025,7,yellow,26.84959414384116
2025,8,green,27.65006988479057
2025,8,yellow,26.425087633309595
