SERVICE,YM,TRIPS,TRIPS_YAGO,YOY_TRIPS,AVG_TICKET,AVG_TICKET_YAGO,YOY_TICKET
green,2015-01-01,1484806,,,14.734742451202381,,
green,2015-02-01,1552334,,,14.391870241842284,,
green,2015-03-01,1695794,,,14.493168315255271,,
green,2015-04-01,1638461,,,14.746529084305335,,
green,2015-05-01,1759620,,,15.18094799445335,,
green,2015-06-01,1614686,,,14.894011300029854,,
green,2015-07-01,1519027,,,14.86562953127232,,
green,2015-08-01,1510904,,,14.902871108951992,,
green,2015-09-01,1473560,,,15.023171265506663,,
green,2015-10-01,1607795,,,14.871651933237757,,
green,2015-11-01,1507828,,,14.672715097477962,,
green,2015-12-01,1585449,,,14.667160432155184,,
green,2016-01-01,1424047,1484806.0,-0.040920497357904,14.354176126209317,14.734742451202381,-0.02582782334020427
green,2016-02-01,1491046,1552334.0,-0.03948119412446033,14.188556570353969,14.391870241842284,-0.014126980584997919
green,2016-03-01,1555389,1695794.0,-0.08279602357361802,14.44291696803822,14.493168315255271,-0.0034672437471216827
green,2016-04-01,1522759,1638461.0,-0.0706162673386794,14.717731085483653,14.746529084305335,-0.0019528662410690117
green,2016-05-01,1516543,1759620.0,-0.13814175787954217,15.049889465712477,15.18094799445335,-0.00863309253076669
green,2016-06-01,1385060,1614686.0,-0.14221093141329028,15.039958211196627,14.894011300029854,0.009799033197086407
green,2016-07-01,1312591,1519027.0,-0.13590015187353482,14.921008874813252,14.86562953127232,0.00372532783925709
green,2016-08-01,1228833,1510904.0,-0.1866902198948444,14.832695313358284,14.902871108951992,-0.004708877576720998
green,2016-09-01,1145769,1473560.0,-0.22244835636146476,14.88379963151386,15.023171265506663,-0.00927711143870151
green,2016-10-01,1236466,1607795.0,-0.23095543897076432,14.58364936035443,14.871651933237757,-0.01936587637851104
green,2016-11-01,1132574,1507828.0,-0.24887056083319847,14.233832138120777,14.672715097477962,-0.029911502843302885
green,2016-12-01,1208395,1585449.0,-0.23782158871083206,13.963412468605052,14.667160432155184,-0.04798120036972445
green,2017-01-01,1056050,1424047.0,-0.25841633035988276,13.612138364660764,14.354176126209317,-0.05169490432778414
green,2017-02-01,1009184,1491046.0,-0.3231704454456804,13.78347018977709,14.188556570353969,-0.028550217815903826
green,2017-03-01,1144095,1555389.0,-0.2644315987833269,13.798495063784038,14.44291696803822,-0.04461854247866066
green,2017-04-01,1067923,1522759.0,-0.2986920451627605,14.090962513214906,14.717731085483653,-0.0425859508254597
green,2017-05-01,1046980,1516543.0,-0.3096272245495182,14.353060774799902,15.049889465712477,-0.04630124975337064
green,2017-06-01,964555,1385060.0,-0.3036005660404603,14.502449191596126,15.039958211196627,-0.035738730922825805
green,2017-07-01,903722,1312591.0,-0.3114976409254673,14.46977767499297,14.921008874813252,-0.030241333116687707
green,2017-08-01,857295,1228833.0,-0.3023502786790394,14.502148525303426,14.832695313358284,-0.022285011663198472
green,2017-09-01,872770,1145769.0,-0.23826705033911721,14.851312178466266,14.88379963151386,-0.0021827392098726778
green,2017-10-01,915244,1236466.0,-0.2597904026475455,14.588849181201953,14.58364936035443,0.0003565514172096223
green,2017-11-01,863843,1132574.0,-0.23727456219196275,14.381240804173908,14.233832138120777,0.010356217821224983
green,2017-12-01,895504,1208395.0,-0.25893106144927774,14.170365425503405,13.963412468605052,0.014821087421406549
green,2018-01-01,783319,1056050.0,-0.25825576440509446,14.005371974891457,13.612138364660764,0.028888452328077185
green,2018-02-01,761276,1009184.0,-0.24565193265053747,14.171142883789848,13.78347018977709,0.028125913770270083
green,2018-03-01,827214,1144095.0,-0.27697088091460936,14.930858169711827,13.798495063784038,0.0820642469119567
green,2018-04-01,790208,1067923.0,-0.2600515205684305,15.503207079654977,14.090962513214906,0.10022342796779339
green,2018-05-01,786556,1046980.0,-0.24873827580278515,16.14768328002075,14.353060774799902,0.12503413267584856
green,2018-06-01,730071,964555.0,-0.24310070446993692,16.285047618656268,14.502449191596126,0.12291706066400988
green,2018-07-01,676326,903722.0,-0.25162162700476476,16.093393200911986,14.46977767499297,0.1122073581493231
green,2018-08-01,667679,857295.0,-0.22117940732186703,16.70113036354296,14.502148525303426,0.15163145201572978
green,2018-09-01,674101,872770.0,-0.22763041809411413,17.36426290719047,14.851312178466266,0.16920731976584993
green,2018-10-01,722944,915244.0,-0.21010790565138915,17.661759472379604,14.588849181201953,0.2106341804627854
green,2018-11-01,664978,863843.0,-0.2302096561527963,17.54686022695488,14.381240804173908,0.22012143916415097
green,2018-12-01,708842,895504.0,-0.2084435133734746,17.934865357865363,14.170365425503405,0.26566004611191757
green,2019-01-01,660831,783319.0,-0.1563705208222959,18.09906420854954,14.005371974891457,0.29229443109380954
green,2019-02-01,604920,761276.0,-0.20538674541165097,18.898083796204457,14.171142883789848,0.33356102264847554
green,2019-03-01,632258,827214.0,-0.23567782943712268,18.605714091399395,14.930858169711827,0.2461248965007411
green,2019-04-01,558384,790208.0,-0.29337085931805296,18.401032336170093,15.503207079654977,0.18691779330729336
green,2019-05-01,536038,786556.0,-0.3184998906625847,18.064975206981597,16.14768328002075,0.11873479890041432
green,2019-06-01,496758,730071.0,-0.31957576728838705,17.398438958205002,16.285047618656268,0.06836893361449094
green,2019-07-01,458697,676326.0,-0.3217812120190559,17.23156488924061,16.093393200911986,0.07072291555419923
green,2019-08-01,435510,667679.0,-0.34772547886035055,17.995517140823402,16.70113036354296,0.07750294435794429
green,2019-09-01,435470,674101.0,-0.35399888147325104,18.46242145268331,17.36426290719047,0.06324245096738872
green,2019-10-01,463254,722944.0,-0.3592117785056657,18.911701204954518,17.661759472379604,0.07077107660364412
green,2019-11-01,420897,664978.0,-0.3670512407929285,18.115206285623323,17.54686022695488,0.03239018555555421
green,2019-12-01,438621,708842.0,-0.38121471357509856,18.536133016887014,17.934865357865363,0.03352507236737992
green,2020-01-01,430645,660831.0,-0.3483280899352482,18.823762101034497,18.09906420854954,0.04004062774376086
green,2020-02-01,385537,604920.0,-0.3626644845599418,18.482082420104945,18.898083796204457,-0.022012886628382022
green,2020-03-01,215530,632258.0,-0.6591106795010897,16.646075627522848,18.605714091399395,-0.10532454998770527
green,2020-04-01,33860,558384.0,-0.9393607266683859,19.6958638511518,18.401032336170093,0.07036733001313805
green,2020-05-01,54959,536038.0,-0.8974718210276137,21.422599210320424,18.064975206981597,0.18586374821268514
green,2020-06-01,60077,496758.0,-0.8790618369507889,23.102657090067748,17.398438958205002,0.32785804206719765
green,2020-07-01,68262,458697.0,-0.8511828069509938,24.36685374000176,17.23156488924061,0.41408246416530775
green,2020-08-01,76947,435510.0,-0.8233174898394985,24.842027759366836,17.995517140823402,0.3804564528469097
green,2020-09-01,84170,435470.0,-0.8067145842423129,23.662143043839848,18.46242145268331,0.2816381158063542
green,2020-10-01,91338,463254.0,-0.802833866518152,23.22536337559395,18.911701204954518,0.22809487755175256
green,2020-11-01,85475,420897.0,-0.7969218122248436,23.41966352734718,18.115206285623323,0.29281793196766437
green,2020-12-01,80851,438621.0,-0.8156700203592623,23.385343656850253,18.536133016887014,0.26160853698802505
green,2021-01-01,73874,430645.0,-0.8284573140289566,23.705605084332785,18.823762101034497,0.25934470256771874
green,2021-02-01,62471,385537.0,-0.8379636714504703,23.62870852075363,18.482082420104945,0.2784657044408669
green,2021-03-01,81031,215530.0,-0.624038416925718,23.89981932840518,16.646075627522848,0.4357629908210253
green,2021-04-01,83361,33860.0,1.46193148257531,24.24154928563717,19.6958638511518,0.2307939102767276
green,2021-05-01,83905,54959.0,0.5266835277206645,23.861262260890296,21.422599210320424,0.1138360021875887
green,2021-06-01,82854,60077.0,0.3791301163506833,23.714157433557826,23.102657090067748,0.026468831749789232
green,2021-07-01,79984,68262.0,0.1717207230963054,24.332330591118225,24.36685374000176,-0.001416807818190263
green,2021-08-01,80257,76947.0,0.04301662183061068,24.624170975740434,24.842027759366836,-0.008769686023084733
green,2021-09-01,91734,84170.0,0.08986574789117263,25.315748577408595,23.662143043839848,0.06988401390799821
green,2021-10-01,106282,91338.0,0.16361207821498172,23.98165531322331,23.22536337559395,0.03256319074103697
green,2021-11-01,104194,85475.0,0.21899970751681777,23.7888518532737,23.41966352734718,0.015764032027847912
green,2021-12-01,95842,80851.0,0.18541514638037873,22.97760313849878,23.385343656850253,-0.017435729161586856
green,2022-01-01,58816,73874.0,-0.20383355443051682,16.992439812295974,23.705605084332785,-0.283188944055834
green,2022-02-01,65565,62471.0,0.049526980518960796,17.34158453443148,23.62870852075363,-0.26607988247855474
green,2022-03-01,74048,81031.0,-0.08617689526230701,17.889029143258426,23.89981932840518,-0.2514993984913881
green,2022-04-01,72107,83361.0,-0.1350031789445904,18.423311745045556,24.24154928563717,-0.24001096101720076
green,2022-05-01,72257,83905.0,-0.13882366962636314,19.31262631994132,23.861262260890296,-0.19062847100106683
green,2022-06-01,68796,82854.0,-0.16967195307408212,19.543061224489794,23.714157433557826,-0.17589055064488726
green,2022-07-01,59706,79984.0,-0.2535257051410282,19.23876963789234,24.332330591118225,-0.2093330490538845
green,2022-08-01,61254,80257.0,-0.23677685435538334,19.52561400071832,24.624170975740434,-0.20705496968995127
green,2022-09-01,64665,91734.0,-0.2950814310942508,20.52900502590273,25.315748577408595,-0.18908165156046322
green,2022-10-01,65291,106282.0,-0.3856814888692347,19.256085984285733,23.98165531322331,-0.19704933905592134
green,2022-11-01,58919,104194.0,-0.4345259803827476,18.671793309458746,23.7888518532737,-0.21510321621977616
green,2022-12-01,68395,95842.0,-0.28637757976669936,20.852342715110755,22.97760313849878,-0.09249269432402932
green,2023-01-01,64800,58816.0,0.10174102285092491,21.709494907407407,16.992439812295974,0.27759728133320233
green,2023-02-01,61890,65565.0,-0.05605124685426676,21.789887380836966,17.34158453443148,0.25651074949774294
green,2023-03-01,68575,74048.0,-0.07391151685393259,22.202405395552315,17.889029143258426,0.24111852117583513
green,2023-04-01,62239,72107.0,-0.13685217801323032,22.923373929529717,18.423311745045556,0.2442591346636866
green,2023-05-01,65683,72257.0,-0.09098080462792532,23.653803419454043,19.31262631994132,0.22478439895200716
green,2023-06-01,62113,68796.0,-0.09714227571370429,24.374315199716648,19.543061224489794,0.2472107066406114
green,2023-07-01,57921,59706.0,-0.029896492814792484,24.174431725971584,19.23876963789234,0.2565476993059916
green,2023-08-01,57275,61254.0,-0.06495902308420674,24.909130859886513,19.52561400071832,0.27571562456218485
green,2023-09-01,62231,64665.0,-0.037640145364571255,26.33778293776414,20.52900502590273,0.28295467337711255
green,2023-10-01,62448,65291.0,-0.04354352054647655,24.62573260953113,19.256085984285733,0.27885452057221766
green,2023-11-01,60634,58919.0,0.02910775810858976,24.08560642543787,18.671793309458746,0.2899460713951133
green,2023-12-01,60874,68395.0,-0.10996417866803129,24.021627295725597,20.852342715110755,0.1519869793008056
green,2024-01-01,53613,64800.0,-0.1726388888888889,22.19283009717792,21.709494907407407,0.02226376946271548
green,2024-02-01,50698,61890.0,-0.18083696881564065,22.475397846068876,21.789887380836966,0.03146002791344301
green,2024-03-01,54402,68575.0,-0.20667881881152023,22.719739347818095,22.202405395552315,0.0233008065139381
green,2024-04-01,53244,62239.0,-0.1445235302623757,23.24072740590489,22.923373929529717,0.013844099797471884
green,2024-05-01,57858,65683.0,-0.11913280453085273,24.46230339797435,23.653803419454043,0.03418054864932868
green,2024-06-01,51976,62113.0,-0.1632025501907813,24.738112590426347,24.374315199716648,0.01492544047817714
green,2024-07-01,48817,57921.0,-0.15717960670568534,24.60557756519245,24.174431725971584,0.0178347869396934
green,2024-08-01,49019,57275.0,-0.14414666084679179,25.938045043758542,24.909130859886513,0.04130670755473789
green,2024-09-01,51609,62231.0,-0.17068663527823755,26.56865023542405,26.33778293776414,0.008765631420285044
green,2024-10-01,53504,62448.0,-0.14322316167050986,24.995078498803828,24.62573260953113,0.014998371627317429
green,2024-11-01,49425,60634.0,-0.1848632780288287,24.023987253414266,24.08560642543787,-0.002558340069798942
green,2024-12-01,50948,60874.0,-0.16305812005125342,23.837504318128286,24.021627295725597,-0.007664883620522856
green,2025-01-01,45623,53613.0,-0.149031018596236,22.519693794796485,22.19283009717792,0.014728346776291854
green,2025-02-01,44204,50698.0,-0.12809183794232515,22.8521292190752,22.475397846068876,0.016761944575420074
green,2025-03-01,48735,54402.0,-0.1041689643763097,23.863783112752643,22.719739347818095,0.05035461663623428
green,2025-04-01,49177,53244.0,-0.07638419352415296,24.498192040994777,23.24072740590489,0.05410607908814398
green,2025-05-01,52566,57858.0,-0.09146531162501297,25.263898147091275,24.46230339797435,0.032768571956445613
green,2025-06-01,47541,51976.0,-0.08532784362013236,25.694158305462654,24.738112590426347,0.038646671670752156
green,2025-07-01,46639,48817.0,-0.04461560521949321,25.635013400801903,24.60557756519245,0.04183749935891414
green,2025-08-01,44788,49019.0,-0.08631347028703155,27.65006988479057,25.938045043758542,0.06600439000486634
yellow,2015-01-01,12665073,,,15.059278947701287,,
yellow,2015-02-01,12368347,,,15.328849203535444,,
yellow,2015-03-01,13260358,,,15.79829573153304,,
yellow,2015-04-01,12984370,,,15.975365637300849,,
yellow,2015-05-01,13073844,,,16.36998946675515,,
yellow,2015-06-01,12246555,,,16.32558767914732,,
yellow,2015-07-01,11486184,,,16.07004999484598,,
yellow,2015-08-01,11052998,,,16.080559534164397,,
yellow,2015-09-01,11145256,,,16.391438532232907,,
yellow,2015-10-01,12230107,,,16.468013422122965,,
yellow,2015-11-01,11233020,,,16.301172045451715,,
yellow,2015-12-01,11381903,,,16.22086972363057,,
yellow,2016-01-01,10839922,12665073.0,-0.14410899960860865,15.580207680461172,15.059278947701287,0.03459187751080215
yellow,2016-02-01,11309845,12368347.0,-0.08558152516257832,15.512377910572603,15.328849203535444,0.011972764856661874
yellow,2016-03-01,12134694,13260358.0,-0.08488941248795848,15.937027984389225,15.79829573153304,0.00878146954669791
yellow,2016-04-01,11852134,12984370.0,-0.08719991805532344,16.141735742272235,15.975365637300849,0.010414165706663365
yellow,2016-05-01,11761002,13073844.0,-0.10041744417326687,16.587134862318706,16.36998946675515,0.013264846382738574
yellow,2016-06-01,11062584,12246555.0,-0.09667788206560947,16.64231580162465,16.32558767914732,0.019400717983456706
yellow,2016-07-01,10229093,11486184.0,-0.10944374563388502,16.397403294700716,16.07004999484598,0.020370397102667675
yellow,2016-08-01,9880010,11052998.0,-0.10612396745208856,16.29474585552039,16.080559534164397,0.013319581380295677
yellow,2016-09-01,10051282,11145256.0,-0.09815602261625933,16.913156181470185,16.391438532232907,0.03182866764325458
yellow,2016-10-01,10786656,12230107.0,-0.11802439667944034,16.536370674099555,16.468013422122965,0.004150910630468587
yellow,2016-11-01,10036731,11233020.0,-0.1064975402874739,16.528487915039268,16.301172045451715,0.013944756177883402
yellow,2016-12-01,10379864,11381903.0,-0.08803791422225264,16.14904957425261,16.22086972363057,-0.0044276386286076835
yellow,2017-01-01,9649991,10839922.0,-0.10977302235200585,15.341746682458046,15.580207680461172,-0.015305379934195265
yellow,2017-02-01,9110089,11309845.0,-0.19449921727486097,15.577570174122338,15.512377910572603,0.004202596399182761
yellow,2017-03-01,10226585,12134694.0,-0.15724409696692804,16.166063165758654,15.937027984389225,0.014371260538274505
yellow,2017-04-01,9977078,11852134.0,-0.15820408375403114,16.235449687774317,16.141735742272235,0.005805691965125018
yellow,2017-05-01,10033630,11761002.0,-0.1468728599825083,16.702532640729228,16.587134862318706,0.006957065181442082
yellow,2017-06-01,9590198,11062584.0,-0.13309602892054875,16.547458213062963,16.64231580162465,-0.0056997829924863835
yellow,2017-07-01,8527130,10229093.0,-0.16638454650866896,16.297115148942254,16.397403294700716,-0.006116099235716979
yellow,2017-08-01,8363276,9880010.0,-0.15351543166454285,16.39225775401888,16.29474585552039,0.0059842540266102666
yellow,2017-09-01,8882629,10051282.0,-0.11626904906259719,16.582347453664898,16.913156181470185,-0.019559254597773815
yellow,2017-10-01,9701224,10786656.0,-0.10062729357457956,16.61972917438047,16.536370674099555,0.005040918707239545
yellow,2017-11-01,9220702,10036731.0,-0.08130426131775376,16.380976910434804,16.528487915039268,-0.008924652113533257
yellow,2017-12-01,9446834,10379864.0,-0.08988846096634792,16.120380126294165,16.14904957425261,-0.001775302492361877
yellow,2018-01-01,8703617,9649991.0,-0.09806993602377453,15.416436553906266,15.341746682458046,0.004868407293781025
yellow,2018-02-01,8439005,9110089.0,-0.07366382479907715,15.410111487076973,15.577570174122338,-0.010749987653629643
yellow,2018-03-01,9368525,10226585.0,-0.08390484213449553,15.893880199924748,16.166063165758654,-0.016836688255085937
yellow,2018-04-01,9246676,9977078.0,-0.07320800739454979,16.233150085500995,16.235449687774317,-0.00014164081177581216
yellow,2018-05-01,9163647,10033630.0,-0.08670670534990826,16.71475793971549,16.702532640729228,0.0007319428286253355
yellow,2018-06-01,8652734,9590198.0,-0.09775230918068636,16.58558152024551,16.547458213062963,0.002303876927300496
yellow,2018-07-01,7793626,8527130.0,-0.08602003253146134,16.425470105955814,16.297115148942254,0.007875931159625546
yellow,2018-08-01,7798264,8363276.0,-0.06755869350718546,16.543137063582357,16.39225775401888,0.009204303142835076
yellow,2018-09-01,7989615,8882629.0,-0.10053487542933516,16.772407139768312,16.582347453664898,0.011461566984679745
yellow,2018-10-01,8763307,9701224.0,-0.0966802745715386,16.88881561949159,16.61972917438047,0.016190783994598498
yellow,2018-11-01,8093316,9220702.0,-0.12226682957544881,16.752677410594124,16.380976910434804,0.02269098492670146
yellow,2018-12-01,8132174,9446834.0,-0.13916408396717886,16.454836204931176,16.120380126294165,0.020747406451754526
yellow,2019-01-01,7640184,8703617.0,-0.12218288097925264,15.63576216489027,15.416436553906266,0.014226738469496108
yellow,2019-02-01,6998300,8439005.0,-0.170719770873462,18.62827262906706,15.410111487076973,0.20883438414373953
yellow,2019-03-01,7808907,9368525.0,-0.16647423153591415,19.08143594999915,15.893880199924748,0.20055239563775587
yellow,2019-04-01,7423408,9246676.0,-0.19718091128098356,19.275044309837206,16.233150085500995,0.18738779647291917
yellow,2019-05-01,7540394,9163647.0,-0.1771404987555719,19.561540114482078,16.71475793971549,0.17031548916436445
yellow,2019-06-01,6906867,8652734.0,-0.20177056176695135,19.670868925085713,16.58558152024551,0.18602226283558945
yellow,2019-07-01,6241363,7793626.0,-0.1991708352440828,19.463142507493956,16.425470105955814,0.18493670999630588
yellow,2019-08-01,6002862,7798264.0,-0.2302309847422452,19.519637089774843,16.543137063582357,0.1799235546893266
yellow,2019-09-01,6495092,7989615.0,-0.18705819992577866,19.776792424187374,16.772407139768312,0.1791266607936971
yellow,2019-10-01,7142454,8763307.0,-0.1849590571230701,19.624809044622477,16.88881561949159,0.16200031350767083
yellow,2019-11-01,6802749,8093316.0,-0.15946084398533308,19.254813339430868,16.752677410594124,0.149357375392093
yellow,2019-12-01,6822167,8132174.0,-0.16108939626722202,19.428916729830856,16.454836204931176,0.18074203157418298
yellow,2020-01-01,6321491,7640184.0,-0.17259963896157474,18.466156402026037,15.63576216489027,0.18102054810550583
yellow,2020-02-01,6237710,6998300.0,-0.10868210851206722,18.456795937932352,18.62827262906706,-0.009205184750578502
yellow,2020-03-01,2975534,7808907.0,-0.6189564045262672,18.38240353832287,19.08143594999915,-0.03663416178468018
yellow,2020-04-01,230104,7423408.0,-0.9690029161808161,16.27881597017001,19.275044309837206,-0.15544598972143686
yellow,2020-05-01,334861,7540394.0,-0.9555910473643685,18.340681865012648,19.561540114482078,-0.062411151797070755
yellow,2020-06-01,526201,6906867.0,-0.9238148063369398,18.64057791604349,19.670868925085713,-0.0523764869241908
yellow,2020-07-01,769095,6241363.0,-0.8767745122339463,18.459398604853757,19.463142507493956,-0.051571523059738396
yellow,2020-08-01,970749,6002862.0,-0.8382856377507929,18.44530929210331,19.519637089774843,-0.055038307973169644
yellow,2020-09-01,1306794,6495092.0,-0.7988028499057442,17.5671077461329,19.776792424187374,-0.11173119637702159
yellow,2020-10-01,1634468,7142454.0,-0.7711615643586924,18.040237092436193,19.624809044622477,-0.0807433055059704
yellow,2020-11-01,1476948,6802749.0,-0.7828895348042387,17.322827858529887,19.254813339430868,-0.10033779330099109
yellow,2020-12-01,1444278,6822167.0,-0.7882962994016417,17.28048654760372,19.428916729830856,-0.11057899995672282
yellow,2021-01-01,1349576,6321491.0,-0.786509859778334,17.387512492812558,18.466156402026037,-0.05841193401216587
yellow,2021-02-01,1352620,6237710.0,-0.7831543948019385,17.54365960136624,18.456795937932352,-0.049474260843369706
yellow,2021-03-01,1900325,2975534.0,-0.361349929121966,17.65839530080381,18.38240353832287,-0.03938593971183779
yellow,2021-04-01,2139190,230104.0,8.29662239682926,18.47375673035121,16.27881597017001,0.1348341773875507
yellow,2021-05-01,2472917,334861.0,6.384905975912393,18.794566865770264,18.340681865012648,0.02474744418436609
yellow,2021-06-01,2798769,526201.0,4.31882113488952,19.338105356319154,18.64057791604349,0.037419839847096105
yellow,2021-07-01,2783216,769095.0,2.6188195216455705,19.804791130117103,18.459398604853757,0.07288387634197278
yellow,2021-08-01,2750016,970749.0,1.832880590142251,20.13513871192022,18.44530929210331,0.0916129620304252
yellow,2021-09-01,2906490,1306794.0,1.224137851872598,20.814009286114864,17.5671077461329,0.18482846390560292
yellow,2021-10-01,3419481,1634468.0,1.092106422395544,20.217601445950425,18.040237092436193,0.12069488568014135
yellow,2021-11-01,3435794,1476948.0,1.326279598198447,20.59758689257854,17.322827858529887,0.18904298194224323
yellow,2021-12-01,3176242,1444278.0,1.199190183607311,20.782099374040143,17.28048654760372,0.20263392565888097
yellow,2022-01-01,2433861,1349576.0,0.8034264094797181,19.05859625919475,17.387512492812558,0.09610827121320346
yellow,2022-02-01,2946436,1352620.0,1.178317635403883,19.405785206262752,17.54365960136624,0.10614236979104955
yellow,2022-03-01,3585822,1900325.0,0.8869519687421888,20.469250972301467,17.65839530080381,0.15917956437240396
yellow,2022-04-01,3558314,2139190.0,0.6633931534833278,21.051288767657944,18.47375673035121,0.13952397852419557
yellow,2022-05-01,3540971,2472917.0,0.43190046410777233,21.941808438984673,18.794566865770264,0.16745486052920666
yellow,2022-06-01,3504695,2798769.0,0.25222731851038793,21.973663713960843,19.338105356319154,0.13628834413090324
yellow,2022-07-01,3128031,2783216.0,0.12389085144667177,21.267885644355825,19.804791130117103,0.07387578614822138
yellow,2022-08-01,3103109,2750016.0,0.1283967075100654,21.374627552560995,20.13513871192022,0.061558495244285735
yellow,2022-09-01,3131075,2906490.0,0.07727017811862419,22.481193120573604,20.814009286114864,0.08009912033482791
yellow,2022-10-01,3612410,3419481.0,0.05642055037007078,22.063681063334446,20.217601445950425,0.0913105158551728
yellow,2022-11-01,3191900,3435794.0,-0.07098621162968444,21.89152579028165,20.59758689257854,0.06281992664729703
yellow,2022-12-01,3336181,3176242.0,0.05035479034657939,24.4161382341066,20.782099374040143,0.17486389582978798
yellow,2023-01-01,3020456,2433861.0,0.24101417459748112,26.97680337670868,19.05859625919475,0.4154664388618768
yellow,2023-02-01,2872422,2946436.0,-0.025119839697858703,26.87803364199272,19.405785206262752,0.38505261994338047
yellow,2023-03-01,3354690,3585822.0,-0.064457187222344,27.786906509990494,20.469250972301467,0.35749503230924845
yellow,2023-04-01,3247495,3558314.0,-0.08735007646879955,28.227587161797015,21.051288767657944,0.34089591726870166
yellow,2023-05-01,3466186,3540971.0,-0.021119913153764887,28.932106993104235,21.941808438984673,0.3185835193830098
yellow,2023-06-01,3259264,3504695.0,-0.07002920368248877,29.02359245522915,21.973663713960843,0.3208353797090821
yellow,2023-07-01,2856884,3128031.0,-0.08668296445911182,28.534567682832066,21.267885644355825,0.34167392847557027
yellow,2023-08-01,2766385,3103109.0,-0.10851181830867043,28.60473807875621,21.374627552560995,0.33825667878498034
yellow,2023-09-01,2747788,3131075.0,-0.12241386744169334,29.805003832173366,22.481193120573604,0.32577500101172996
yellow,2023-10-01,3400224,3612410.0,-0.05873807236720084,29.22294542065464,22.063681063334446,0.3244818639631943
yellow,2023-11-01,3236067,3191900.0,0.01383721294526771,28.740313454573098,21.89152579028165,0.3128510881288979
yellow,2023-12-01,3302848,3336181.0,-0.009991364377412376,28.491242615463985,24.4161382341066,0.1669020850998018
yellow,2024-01-01,2903956,3020456.0,-0.03857033507523367,26.744946355936527,26.97680337670868,-0.008594681050028892
yellow,2024-02-01,2939040,2872422.0,0.02319227467273263,26.609293555038377,26.87803364199272,-0.009998502514502303
yellow,2024-03-01,3495138,3354690.0,0.041866163490516264,27.125583381829276,27.786906509990494,-0.023799811178097357
yellow,2024-04-01,3468116,3247495.0,0.06793574739914919,27.449469986009696,28.227587161797015,-0.02756584086791578
yellow,2024-05-01,3673662,3466186.0,0.059857145577300236,28.22287658472663,28.932106993104235,-0.02451361072826959
yellow,2024-06-01,3485793,3259264.0,0.06950311481365118,27.869558203829087,29.02359245522915,-0.039761936885664255
yellow,2024-07-01,3028447,2856884.0,0.06005249075566246,28.019923515253858,28.534567682832066,-0.018035814430363548
yellow,2024-08-01,2921348,2766385.0,0.05601642576864753,28.18886724895493,28.60473807875621,-0.014538529549065572
yellow,2024-09-01,3551417,2747788.0,0.29246397465888924,28.518016997159158,29.805003832173366,-0.04318022712766621
yellow,2024-10-01,3751667,3400224.0,0.1033587787157552,28.41402404051319,29.22294542065464,-0.02768103517620462
yellow,2024-11-01,3576651,3236067.0,0.1052462758033131,27.61991377967825,28.740313454573098,-0.03898355794434012
yellow,2024-12-01,3592558,3302848.0,0.08771520820818882,28.27200197463757,28.491242615463985,-0.0076950185636136936
yellow,2025-01-01,3383958,2903956.0,0.1652924493346318,25.66947372869285,26.744946355936527,-0.04021218113249109
yellow,2025-02-01,3477392,2939040.0,0.18317273667592138,25.096539354780823,26.609293555038377,-0.05685059609450319
yellow,2025-03-01,4041081,3495138.0,0.15620069937152697,26.28281595939304,27.125583381829276,-0.03106909851755607
yellow,2025-04-01,3878635,3468116.0,0.11836945477025566,26.6012362673982,27.449469986009696,-0.030901642874846744
yellow,2025-05-01,4450106,3673662.0,0.21135422910436508,26.963403354886378,28.22287658472663,-0.04462596950595186
yellow,2025-06-01,4187530,3485793.0,0.2013134457496472,27.416330772555657,27.869558203829087,-0.016262454824675303
yellow,2025-07-01,3774761,3028447.0,0.2464345587028599,26.849594143841156,28.019923515253858,-0.04176775753065788
yellow,2025-08-01,3468430,2921348.0,0.18727039709065815,26.42508763330959,28.18886724895493,-0.06257007775687512
